code collectivite,LIBGEO,dsu,dsr,dnp,solde_fpic,fsrif,perequations,recette_avantp,MONTANT,avantp_hab,apresp_hab
73278,Saint-Rémy-de-Maurienne,0,30208,0,0,0,30208,1522429,1552637,1194.0619607843137,1217.7545098039216
73280,Saint-Sorlin-d'Arves,0,19389,0,0,0,19389,2434374.48,2453763.48,7015.488414985591,7071.364495677233
73281,Saint-Sulpice,0,13507,0,0,0,13507,413043.36,426550.36,510.5603955500618,527.2563164400494
73282,Saint-Thibaud-de-Couz,0,68274,15391,0,0,83665,721438.29,805103.29,685.7778422053233,765.3073098859315
73283,Saint-Vital,0,9102,4390,-6393,0,7099,416653.87,423752.87,611.8265345080764,622.2509104258444
73284,Salins-Fontaine,0,0,0,0,0,0,1493536.44,1493536.44,1454.2711197663095,1454.2711197663095
73285,Séez,0,46422,0,0,0,46422,3247658.6,3294080.6,1294.919696969697,1313.4292663476874
73286,Serrières-en-Chautagne,0,49725,0,0,0,49725,1179255.24,1228980.24,963.4438235294117,1004.0688235294117
73288,Sonnaz,0,19762,0,0,0,19762,1104554.16,1124316.16,615.6935117056855,626.7091192865106
73289,La Table,0,35876,0,0,0,35876,361022.43,396898.43,789.9834354485777,868.4867177242888
73290,Val-Cenis,0,147597,0,0,0,147597,10105468.24,10253065.24,4618.586946983547,4686.044442413163
73292,Thénésol,0,6213,0,0,0,6213,313367.33,319580.33,1103.4060915492958,1125.2828521126762
73293,Thoiry,0,15126,0,0,0,15126,432428.2,447554.2,916.1614406779661,948.2080508474577
73294,La Thuile,0,10749,0,0,0,10749,363067.89,373816.89,1096.8818429003022,1129.356163141994
73296,Tignes,0,40659,0,0,0,40659,21474164.22,21514823.22,8112.642319607102,8128.002727616169
73297,Tournon,0,0,0,-9291,0,-9291,701203.48,691912.48,1142.0252117263844,1126.89328990228
73298,Tours-en-Savoie,0,12646,0,0,0,12646,718004.17,730650.17,744.8176037344399,757.9358609958507
73299,Traize,0,10602,6101,0,0,16703,239536.61,256239.61,777.7162662337662,831.9467857142856
73300,Tresserve,0,25075,0,0,0,25075,1284106.07,1309181.07,394.50263287250385,402.20616589861754
73301,Trévignin,0,11681,0,0,0,11681,525642.98,537323.98,661.1861383647798,675.8792201257861
73302,La Trinité,0,9143,0,0,0,9143,325438.15,334581.15,962.8347633136095,989.8850591715977
73303,Ugine,0,157948,0,0,0,157948,12151618.44,12309566.44,1667.8037935767225,1689.4820807027174
73304,Val-d'Isère,0,22159,0,0,0,22159,22400295.58,22422454.58,13776.319544895448,13789.94746617466
73306,Valloire,0,91577,0,0,0,91577,8424412.13,8515989.13,7188.064957337885,7266.202329351537
73307,Valmeinier,0,83368,0,0,0,83368,4430099.04,4513467.04,8438.283885714285,8597.080076190476
